iter	timestamp	commit	combo	split_mode	n_seeds	mean_val_auc	std_val_auc	mean_val_mcc	std_val_mcc	mean_val_loss	wall_time_min	keep	note
18	2026-05-19T10:49:01	7bcb658c33	maccs+scage1+mole	scaffold	10	0.847631	0.003673	0.535802	0.006578	0.505362	4.81	True	modality dropout p=0.05 (synthesis with EMA arch)
19	2026-05-19T10:59:56	00d098614f	maccs+scage1+mole	scaffold	10	0.847495	0.003392	0.536099	0.007538	0.476289	4.74	False	stochastic depth p=0.05 (synthesis with EMA arch)
20	2026-05-19T11:05:57	d61eaa4fa6	maccs+scage1+mole	scaffold	10	0.848755	0.002967	0.530658	0.010299	0.491441	5.09	True	multi-head SGU (n_heads=2) synthesis with EMA arch
21	2026-05-19T11:17:19	b82055b1cf	maccs+scage1+mole	scaffold	10	0.845359	0.002853	0.526426	0.005187	0.503018	5.36	False	multi-head SGU n_heads=4
22	2026-05-19T11:23:53	59fabcad1c	maccs+scage1+mole	scaffold	10	0.847065	0.002569	0.522576	0.013795	0.504973	5.75	False	per-modality LayerNorm after projection (synthesis)
23	2026-05-19T11:30:48	3b5db291f5	maccs+scage1+mole	scaffold	10	0.848398	0.003295	0.529216	0.013507	0.494737	6.02	False	cross-modal FiLM (synthesis on EMA arch)
24	2026-05-19T11:34:12	1532e0895f	maccs+scage1+mole	scaffold	10	0.848112	0.003627	0.53167	0.011689	0.465028	2.76	False	EMA decay 0.99 (shorter window)
25	2026-05-19T11:39:56	2763c17325	maccs+scage1+mole	scaffold	10	0.848292	0.003515	0.528232	0.010085	0.481763	5.04	False	modality dropout p=0.10
26	2026-05-19T11:46:37	d56e397571	maccs+scage1+mole	scaffold	10	0.849081	0.002704	0.529342	0.012727	0.501194	4.96	True	AdamW + grad-clip(1.0) without scheduler
27	2026-05-19T11:56:46	1b6d3493a5	maccs+scage1+mole	scaffold	10	0.848761	0.002777	0.528857	0.010874	0.506604	4.36	False	grad-clip max_norm=0.5
28	2026-05-19T12:02:25	9f7e60ce49	maccs+scage1+mole	scaffold	10	0.848979	0.002391	0.529284	0.013063	0.537769	5.02	False	EMA decay 0.9995
29	2026-05-19T12:07:08	7bf5b98346	maccs+scage1+mole	scaffold	10	0.849157	0.002878	0.530307	0.012287	0.530211	3.9	True	skip_gate init=1.0 (sigmoid=0.73, gated bias)
30	2026-05-19T12:16:16	680be04f37	maccs+scage1+mole	scaffold	10	0.849077	0.002705	0.529796	0.012925	0.511669	3.86	False	skip_gate init=2.0 (sigmoid=0.88, stronger gated bias)
